iteration,start,end,duration
0,25816479411626,25817354130696,874719070
1,25817354132680,25817596509233,242376553
2,25817596511146,25817796637996,200126850
3,25817796640270,25817994279597,197639327
4,25817994281320,25818182447794,188166474
5,25818182449878,25818385945970,203496092
6,25818385948935,25818570343129,184394194
7,25818570344933,25818758590546,188245613
8,25818758592660,25818949824697,191232037
9,25818949826109,25819135856500,186030391
