service,memory-usage,databases
dbrepo-identifier-service,374251520,8
dbrepo-query-service,378986496,8
dbrepo-database-service,399130624,8
dbrepo-table-service,386379776,8
dbrepo-user-service,442982400,8
dbrepo-semantics-service,390422528,8
dbrepo-container-service,430460928,8
dbrepo-broker-service,133398528,8
dbrepo-metadata-service,395595776,8
dbrepo-authentication-service,599412736,8
dbrepo-analyse-service,64753664,8
dbrepo-ui,83365888,8
dbrepo-metadata-db,155152384,8
dbrepo-search-db,1642901504,8
dbrepo-userdb-database-9,63361024,9
dbrepo-userdb-database-8,62894080,9
dbrepo-userdb-database-7,62767104,9
dbrepo-userdb-database-6,65036288,9
dbrepo-userdb-database-5,65282048,9
dbrepo-userdb-database-4,62939136,9
dbrepo-userdb-database-3,67223552,9
dbrepo-userdb-database-2,73355264,9
dbrepo-userdb-database-1,73932800,9
dbrepo-gateway-service,16957440,9
dbrepo-identifier-service,373948416,9
dbrepo-query-service,379183104,9
dbrepo-database-service,401088512,9
dbrepo-table-service,386002944,9
dbrepo-user-service,442597376,9
dbrepo-semantics-service,390090752,9
dbrepo-container-service,430702592,9
dbrepo-broker-service,133181440,9
dbrepo-metadata-service,396718080,9
dbrepo-authentication-service,596811776,9
dbrepo-analyse-service,64761856,9
dbrepo-ui,82886656,9
dbrepo-metadata-db,154857472,9
dbrepo-search-db,1645412352,9
dbrepo-userdb-database-10,64958464,10
dbrepo-userdb-database-9,63266816,10
dbrepo-userdb-database-8,62648320,10
dbrepo-userdb-database-7,62767104,10
dbrepo-userdb-database-6,65036288,10
dbrepo-userdb-database-5,65282048,10
dbrepo-userdb-database-4,62939136,10
dbrepo-userdb-database-3,67170304,10
dbrepo-userdb-database-2,73355264,10
dbrepo-userdb-database-1,73932800,10
dbrepo-gateway-service,16982016,10
dbrepo-identifier-service,373714944,10
dbrepo-query-service,379949056,10
dbrepo-database-service,401342464,10
dbrepo-table-service,385593344,10
dbrepo-user-service,442089472,10
dbrepo-semantics-service,389672960,10
dbrepo-container-service,430731264,10
dbrepo-broker-service,132648960,10
dbrepo-metadata-service,396423168,10
dbrepo-authentication-service,593297408,10
dbrepo-analyse-service,64753664,10
dbrepo-ui,82518016,10
dbrepo-metadata-db,154488832,10
dbrepo-search-db,1645932544,10
