iteration,start,end,duration
0,25633209229478,25633270814436,61584958
1,25633270817512,25633335322157,64504645
2,25633335324271,25633390162553,54838282
3,25633390164707,25633443732305,53567598
4,25633443734429,25633493824823,50090394
5,25633493826927,25633549090901,55263974
6,25633549092884,25633606033852,56940968
7,25633606036006,25633664343259,58307253
8,25633664346605,25633718230293,53883688
9,25633718232307,25633769195066,50962759
