iteration,start,end,duration
0,6153273603337,6225932561259,72658957922
1,6239664475482,6312613142067,72948666585
2,6326212484991,6399431133867,73218648876
3,6413265991328,6485919169978,72653178650
4,6500061887927,6572992024667,72930136740
5,6586724590604,6660064013537,73339422933
6,6674125469889,6746824157555,72698687666
7,6760605420398,6833655910796,73050490398
8,6847172049940,6920054260712,72882210772
9,6933956820320,7006681714581,72724894261
