iteration,start,end,duration
0,25631386328684,25631963840349,577511665
1,25631963842483,25632050150696,86308213
2,25632050153051,25632124734423,74581372
3,25632124736266,25632194017033,69280767
4,25632194019778,25632266265820,72246042
5,25632266267914,25632333835644,67567730
6,25632333837608,25632400917575,67079967
7,25632400919789,25632473639215,72719426
8,25632473641279,25632538523624,64882345
9,25632538525828,25632600618606,62092778
