iteration,start,end,duration
0,8277640647936,8277689333454,48685518
1,8277689335017,8277728067928,38732911
2,8277728069361,8277765626921,37557560
3,8277765628644,8277806035784,40407140
4,8277806037317,8277846204269,40166952
5,8277846205842,8277887801927,41596085
6,8277887803430,8277930235087,42431657
7,8277930237312,8277992471674,62234362
8,8277992473318,8278047470510,54997192
9,8278047472314,8278088057778,40585464
