iteration,start,end,duration
0,34951095371139,34951661101789,565730650
1,34951661104068,34951729259448,68155380
2,34951729261641,34951791960418,62698777
3,34951791962512,34951855524598,63562086
4,34951855526932,34951917752586,62225654
5,34951917754811,34951976694127,58939316
6,34951976696124,34952041127523,64431399
7,34952041130193,34952099226675,58096482
8,34952099229117,34952158856204,59627087
9,34952158858831,34952214930528,56071697
