iteration,start,end,duration
0,19365075018533,19382287786133,17212767600
1,19539583802890,19556718341843,17134538953
2,19713664398762,19731347148934,17682750172
3,19888717752682,19906766567569,18048814887
4,20064357048841,20082136890153,17779841312
5,20239963076541,20257396956456,17433879915
6,20414385900242,20431696083411,17310183169
7,20589054016028,20606395902129,17341886101
8,20764069407506,20781615663949,17546256443
9,20939325819456,20956928435326,17602615870
