iteration,start,end,duration
0,25932686050532,25932856355371,170304839
1,25932856356924,25932958582336,102225412
2,25932958584771,25933066481884,107897113
3,25933066483968,25933189403925,122919957
4,25933189406700,25933292264253,102857553
5,25933292267790,25933390893027,98625237
6,25933390895192,25933495044810,104149618
7,25933495046884,25933583569050,88522166
8,25933583572227,25933659689767,76117540
9,25933659693073,25933739252031,79558958
